path	branch	sha	state	ahead	dirty_tracked	untracked
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a346b8273ebf944a7	refs/heads/claude/fix-operator-web-live-onboarding-g24	456a8b75	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a347f97736bfb340e	refs/heads/claude/a7-1-frameworks-cross-ref-sweep	09339cf9	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a3ac29d4c77c9e480	refs/heads/claude/r-2l-fu-demo-fixture	351d1bb0	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a3cda9e51f393b7b5	refs/heads/claude/c-2-wire-or-delete-template-emails	b8c57bb4	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a3d3d2344bf5586b8	refs/heads/claude/a11-1-b-session-record-gauge-consumer	ea893e96	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a3d6b602dd41bd45e	refs/heads/claude/phase-2-walkthrough-tracker-annotations	2e2f03aa	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a46b9443af437d56e	refs/heads/claude/per-daypart-slice-0-cycle-gating	b3a01fd6	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a48d9da56fd9b0b7d	refs/heads/claude/wave-2-q-4-role-editor-orphan-lint	0589156c	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a4a579e3d7401bf97	refs/heads/claude/wave-2-w-5-business-logo-upload	c604dfb8	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a4aa63d9dfdab7b0b	refs/heads/claude/a10-1-test-consolidation-pass	4fed0fef	MERGED_OR_DEAD	0	3	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a4b24e7370649ecb7	refs/heads/claude/fix-demo-open-shift-clock-weekend-lunch-finalize	66699ac8	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a4bd5e56222a5bbe9	refs/heads/claude/c-2-d-production-binding	d25a5a6c	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a4cd98330ce837021	refs/heads/claude/wave-2-q-1-soak-harness-azure-blob	a33fb80a	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a4fff37dc32f55208	refs/heads/claude/admin-auth-session-ledger-parity	ffd2ccf6	UNMERGED	2	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a5146f77508b122f8	refs/heads/claude/wave-2-q-1-fu-multi-pod-live-capture	6d07a347	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a516bc14dfe821020	refs/heads/claude/test-cleanup-stale-permission-explainer-group	7ae97192	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a5190b379f1638a1b	refs/heads/claude/wave-2-h-2-inheritance-tree-viz	0229ddf9	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a5ac68bfa733efb18	refs/heads/claude/gap-a6-shared-permission-explainer	2e298a48	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a5bf291531be6ec56	refs/heads/claude/mo-5b-operator-web-2fa-sweep	80382b62	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a5d065150e6c1df49	refs/heads/claude/a4-2-performance-fixes	7c85e5a4	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a5f73d6fdd651d2d1	refs/heads/claude/a4-1-performance-audit-pass	37bd5b7e	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a602c22d511a585fa	refs/heads/claude/wave-2-q-2a-email-soak-harness	ec6b017b	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a623e563a77829dbf	refs/heads/claude/post-hardening-doc-drift-2026-05-13	bbb07300	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a6378050414344509	refs/heads/claude/doc-hygiene-trim-2026-05-12	9bf22159	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a674db4e44b8c875d	refs/heads/claude/fu-settings-pointer-buttons	804ae88b	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a6b18cd36a5ce58f3	refs/heads/claude/wave-2-u-fu-hp11-account-schema	b969e7eb	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a6c289fb76ec26c55	refs/heads/claude/wave-2-s-1-wage-authority-blended-mix-formula-ui	b0589180	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a6cafc8c688471363	refs/heads/claude/wave-2-mo-2-mobile-covers-manual-entry	e16dff45	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a6d431220af1c1cc0	refs/heads/claude/per-daypart-slice-1-per-period-data-foundation	466d93f5	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a6eba2ebe7a96e36e	refs/heads/claude/per-daypart-slice-4-shift-card	bcb0bc6f	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a6f37e1ef577341c5	refs/heads/claude/b8-audit-log-hierarchy-filter	ba6363fc	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a7165ed9ae2b24388	refs/heads/claude/wave-2-b-1b-proxy-support-check-session	b0477670	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a732990db5dca83d1	refs/heads/claude/wave-2-w-1-members-edit-user-write-path	1297ae5a	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a7743f951bc3d0cca	refs/heads/claude/wave-2-phase-2-rp-15-benchmark-override-cap-and-undo	0c5d89e4	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a79d82a2cf75cdc09	refs/heads/claude/mobile-fu-drawer-seed-followup-bundle	fb3ede62	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a7b98a0a831f38bb1	refs/heads/claude/docs-infra-deferrals-inventory-b6	9706ce92	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a7c867aa45c774bc5	refs/heads/claude/wave-2-phase-2-en-3-internal-template-wire	480b3200	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a7c8ad5763dba2393	refs/heads/claude/b11-1-handoff-codes-table-endpoints	1c0ef052	MERGED_OR_DEAD	0	3	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a7d7a99dc8d7dcd03	refs/heads/claude/wave-2-r-1l-fu-pre-fail-test-fix	b4606a47	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a80e1b11203ca9d95	refs/heads/claude/per-daypart-slice-5-variance-read	6226fdb3	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a8255bc01c8f236b8	refs/heads/claude/demo-seed-completeness	88ac0f0f	MERGED_OR_DEAD	0	1	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a8257594985b55190	(detached)	64f1db57	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a8618656fb0158041	refs/heads/claude/c-2-d-vendor-sync-outage-detector-wire	5a135d3c	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a88d7ee58c5abf054	refs/heads/claude/per-daypart-slice-6-audit-scorer	b0d36e71	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a8bb450d97164aa96	refs/heads/claude/wave-2-q-3-scaffold-audit-email	2be04174	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a8bb72ec3cb7a7fc7	refs/heads/claude/wave-2-mo-1-mobile-data-tab-role-gate	b4eecd7c	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a8f556033e0d4654a	refs/heads/claude/c-2-f-vendor-connection-auto-disabled-wire	0e3f61a2	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a8fc1c9da4e21a44a	refs/heads/claude/per-daypart-slice-3-plan-persistence	90b48a47	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a9173290af53cd8ae	refs/heads/claude/l-a2-inheritance-descendant-cache	0ae36025	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a928f14752c0cce38	refs/heads/claude/fu-mobile-shift-card-overflow-17px	56d852c3	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a98d1d831e522f7b2	refs/heads/claude/a3-1-monolith-seam-map-bleed-stop-lint	0aad7608	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a9b2ed624167444d9	refs/heads/claude/c8-notification-prefs-catalog-completeness	1f07bc45	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a9c8481d13412cf87	refs/heads/claude/operator-web-demo-scenario-bundle	37be61b4	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a9ce3df943514576e	refs/heads/claude/b1a-inheritance-notice-propagation	9566c082	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a9e0a8f747a6bd0c5	refs/heads/claude/b2-1-idempotency-replay-fix	175cafab	MERGED_OR_DEAD	0	1	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aa02edfca7cf459b1	refs/heads/claude/ow-6d-inline-edit-button	19481096	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aa279766b5ef7819f	refs/heads/claude/c-2-c-mfa-factor-changed-wire	d0002248	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aa28ecfc5f03e626d	refs/heads/claude/c-1-sendgrid-events-webhook	2aa90b47	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aa664d70e22063b64	refs/heads/claude/wave-2-phase-2-rp-9-default-catalog-edit-key	af3862f1	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aa7c7946ed1fc8102	refs/heads/claude/debug-md-implementation-status-tracker	a066cd9e	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aa8f0545111eb6b7e	refs/heads/claude/gap-b2-wage-role-rows-hierarchy-scope	0f936502	UNMERGED	1	0	1
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aaaca1be2316bca3f	refs/heads/claude/wave-2-closeout-sweep	41ef61f8	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aac29d24f3bd95e54	refs/heads/claude/b11-2-step-up-challenge	a5df9d08	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aae1e31935c5d4749	refs/heads/claude/wave-2-phase-2-final-closeout	80c07442	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aae435a76cabf1e0f	refs/heads/claude/b-1-b2-1-idempotency-replay-fix	22adb5ec	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aaed769f5cb98a15c	refs/heads/claude/b1-c-admin-gateway-actorkind-sweep	e0a8dad6	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ab2e50d0d05cc179d	refs/heads/claude/g66-invited-user-activation-wiring	e3c68756	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ab34e17b216b1c2af	refs/heads/claude/wave-2-h-3-top-bar-hierarchy-map-picker	44de44b5	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ab385c5c2faefcf48	refs/heads/claude/wave-2-phase-2-rp-10-hierarchy-picker-in-invite	ddb6b242	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ab6e1f0bf2cfdae24	refs/heads/claude/wave-2-mo-1-fu-demo-live-switch-to-setup-tab	e73228f5	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ab7b21d89fccb72a2	refs/heads/claude/wave-2-q-1-fu-sink-wire	9cfee0ae	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ab7e17ddca54a44e4	refs/heads/claude/wave-2-r-1l-roles-schema	31c938c9	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ab83abbb1ec76e437	refs/heads/claude/fix-839-d2-fixturegoverned-local	087ecfdb	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ab8f6713040b71857	refs/heads/claude/org-unit-hierarchy-surface-slice	f5291954	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ab97279d56a38a9e6	refs/heads/claude/fu-mobile-cold-boot-shift-stale-state	d35c827c	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-abc3d950cf05c39db	refs/heads/claude/b2-4-catalog-published-at-projection	3d9c05a0	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-abd2b1f573c4cea8b	refs/heads/claude/a3-3-bare-catch-typing-chunk-2	bb88f82b	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-abea3a32f49b97a00	refs/heads/claude/fix-gap-b3-audit-tree-picker-redirect-rebase	d6c7ea0a	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-abec48f198b9f3d53	refs/heads/claude/a11-1-session-record-gauge	d328d8d8	MERGED_OR_DEAD	0	3	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ac0cf4ac9ec1e955f	refs/heads/claude/wave-2-w-3-profile-self-service	75519f94	MERGED_OR_DEAD	0	0	1
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ac37c12716ad842ec	refs/heads/claude/wave-2-ledger-batch-2-flips	88312701	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ac3d07d3e71ab852a	refs/heads/claude/wave-2-b-2b-proxy-crash-triage	b41a736e	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ac6f6be868eb4e959	refs/heads/claude/wave-2-w-1-fu-role-hierarchy-rotation	d2cafe27	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ac7c19ac419d0a660	refs/heads/claude/cut-variance-daypart-toggle	c4bd002a	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ac8ea0e1bc720240b	refs/heads/claude/b2-1-default-role-catalog-schema	1599f25d	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ac9a4117f00560d0d	refs/heads/claude/gap-a1-org-unit-rename	b099e9aa	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aca1b25704127a721	refs/heads/claude/mo-5b-fu-mobile-recanonicalize	ea4e1a17	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-acc2ff827ecac1c00	refs/heads/claude/mo-5b-fu-admin-my-account-cleanup	8427bed3	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-acf041e73e20252e1	refs/heads/claude/wave-2-s-2-data-accuracy-unified-ia	99e9661f	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ad20afdf456070cfc	refs/heads/claude/b-2-permission-explainer-screen-fix	36ad6ceb	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ad34a3bc1353aa69c	refs/heads/claude/c-7a-recovery-codes-viewed-at	b396990c	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ad966e36086fdd830	refs/heads/claude/a3-2-bare-catch-chunk-1	856ec62d	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-add0487f3b41adcef	refs/heads/claude/wave-2-u-fu-tier-email-wire	55da0b80	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aded6d58c5d7d898a	refs/heads/claude/wave-2-s-3-roles-screen-redesign	6067f49f	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-ae81da8f82fc239ec	refs/heads/claude/wave-2-phase-2-mo-5b-two-factor-label-normalize	a21d6246	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aed099970150610fd	refs/heads/claude/a11-2-soak-harness-durable-extensions	e0e2dc75	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aedc6b2ba5f8842f7	refs/heads/claude/per-daypart-slice-1.5-aggregator-bucketer	fcc7b9e4	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-aeed3e03a0ed5cb80	refs/heads/claude/repo-hygiene-flutter-gitignore	3f5aaee0	MERGED_OR_DEAD	0	4	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-af3a26b3c5d75481f	refs/heads/claude/wave-2-h-1-hp-11-schedule-wage-authority	6e14bbf5	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-af3a8224f57a19d84	refs/heads/worktree-agent-af3a8224f57a19d84	6ab8f73c	MERGED_OR_DEAD	0	1	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-af3be804109b4b115	refs/heads/claude/fix-g4-admin-self-mfa-password	06149f46	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-af89b72b3d4805206	refs/heads/claude/b11-2-b-test-fake-clock-fix	5cfc2410	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-afdd2749ebcac0cc1	refs/heads/claude/c-1a-email-event-provider-id	a0fb383f	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-afde4519c9a4f6e38	refs/heads/claude/wave-2-w-5-mobile-fu-2-account-info-logo	fbe21181	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/b-fu-proxy-analyze-infos	refs/heads/claude/wave-2-b-fu-proxy-analyze-infos	42f56311	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/demo-slice-a-hierarchy	refs/heads/claude/demo-slice-a-hierarchy	135e637d	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/eloquent-yonath-fec6f8	refs/heads/claude/eloquent-yonath-fec6f8	d38692ae	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/fix-bm-summary-triage	refs/heads/claude/fix-benchmark-summary-replay-triage	498cac7b	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/fix-daypart-labor-parity	refs/heads/claude/fix-daypart-labor-parity	cf12e6b0	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/fix-qa-demo-open-shift-clock-and-weekend-lunch	refs/heads/claude/fix-demo-open-shift-clock-weekend-lunch	be517f73	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/fix-qa-shift-labor-prov-wt	refs/heads/claude/fix-qa-shift-labor-provenance-vendorid-wiring	14b116cc	MERGED_OR_DEAD	0	0	0
